nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Morris,Alexandra,34,183.4,79.8,H,non,bac,Bretagne,non,oui,2095,veuf,,0.3,2024-05-05,480.0,293.63,40000.0
Stephens,Jessica,26,171.3,90.4,H,oui,master,Auvergne-Rhône-Alpes,non,oui,864,célibataire,1.0,0.52,2020-08-03,,10000.0,
Rowland,Cory,29,178.1,53.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,1468,veuf,1.0,0.33,2024-07-03,,,
Montgomery,Douglas,41,179.4,70.1,H,non,bac,Bretagne,non,non,2087,marié,5.0,0.7,2020-04-30,804.0,5000.0,40000.0
Reynolds,Brittany,60,173.8,81.8,H,non,bac+2,Île-de-France,oui,non,1938,marié,,0.12,2022-12-09,824.0,,
Taylor,Andrew,43,166.4,48.8,H,oui,master,Occitanie,non,oui,940,marié,1.0,0.91,2024-09-13,486.0,,
Johnson,Joseph,64,176.5,53.3,H,oui,bac,Provence-Alpes-Côte d’Azur,non,non,2765,veuf,,0.58,2020-11-11,,813.41,
Thornton,Christopher,40,153.0,56.9,H,oui,bac,Occitanie,non,oui,1086,,,0.88,2020-03-15,695.0,10000.0,40000.0
Avila,Kimberly,58,167.7,87.3,H,oui,aucun,Normandie,oui,oui,1611,célibataire,,0.44,2021-08-25,,697.07,
Jimenez,Martha,74,151.8,81.8,H,non,bac+2,Occitanie,non,oui,2840,marié,2.0,0.65,2021-11-22,727.0,,
Watson,Stephanie,36,164.4,46.1,F,non,bac,Normandie,oui,oui,3352,veuf,,0.42,2022-03-29,,890.33,
Alvarez,Andrew,24,185.4,63.7,H,oui,bac+2,Hauts-de-France,non,oui,1588,divorcé,1.0,0.65,2021-04-23,553.0,,
Browning,Christie,28,174.9,110.3,F,oui,doctorat,Île-de-France,oui,oui,1296,veuf,5.0,0.31,2021-05-17,,5000.0,
Gallagher,Sandra,67,174.7,61.5,H,non,bac,Hauts-de-France,non,oui,1617,,2.0,0.91,2021-04-05,,723.65,
Ward,Victoria,73,183.1,85.5,F,non,bac,Normandie,non,non,2577,veuf,,0.67,2025-02-22,388.0,,
Chandler,Michaela,59,172.7,60.0,F,non,bac,Occitanie,non,oui,1862,célibataire,,0.11,2025-02-09,,,
Evans,Edward,29,154.9,61.2,F,non,doctorat,Normandie,oui,oui,3487,célibataire,,0.22,2022-10-29,771.0,10000.0,40000.0
Sanchez,Lisa,74,172.3,82.7,F,oui,master,Normandie,non,non,2346,marié,0.0,0.67,2024-08-06,,,
Cabrera,Joshua,29,185.9,44.6,F,oui,doctorat,Île-de-France,non,oui,1747,,,0.15,2024-11-07,,,
Hughes,Jeremy,67,164.3,59.0,H,non,master,Corse,oui,oui,2347,marié,,0.64,2023-09-03,337.0,1269.17,40000.0
Wilcox,Craig,34,199.8,70.0,F,oui,master,Normandie,non,oui,2619,célibataire,,0.7,2021-03-15,310.0,5000.0,40000.0
Flores,James,68,172.8,66.5,F,non,doctorat,Corse,oui,oui,854,divorcé,,0.91,2025-04-14,,10000.0,
Erickson,Erika,25,171.0,75.5,H,non,master,Normandie,non,non,2312,veuf,,0.88,2021-12-11,755.0,,
Jones,Dawn,29,174.6,50.2,F,non,bac,Normandie,oui,oui,1448,célibataire,3.0,0.22,2021-02-28,,10000.0,
Collins,Spencer,39,175.3,50.6,F,oui,aucun,Occitanie,oui,oui,2081,,4.0,0.75,2020-10-25,455.0,855.89,40000.0
Johnson,Carol,70,182.0,94.0,H,oui,bac,Auvergne-Rhône-Alpes,oui,oui,2447,veuf,,0.12,2022-08-23,,,
Wall,Eric,75,174.4,54.0,F,oui,bac+2,Corse,oui,non,1764,,0.0,0.1,2020-12-18,,10000.0,
Dean,Mitchell,74,159.7,72.0,H,oui,bac+2,Hauts-de-France,oui,oui,4846,divorcé,,0.58,2021-11-09,,5000.0,
Nunez,Nathan,19,165.0,84.8,F,non,aucun,Hauts-de-France,non,oui,2762,,2.0,0.61,2020-03-12,521.0,5000.0,40000.0
Martin,Jodi,62,161.5,64.0,H,oui,bac+2,Hauts-de-France,non,non,2225,veuf,5.0,0.18,2020-08-15,586.0,5000.0,40000.0
Hale,Anthony,27,169.5,66.6,H,non,bac,Normandie,non,oui,572,célibataire,0.0,0.94,2022-12-09,,461.55,
Wallace,Gabriel,30,175.0,69.8,H,oui,doctorat,Corse,non,non,2567,marié,0.0,0.69,2021-09-25,621.0,940.3,40000.0
Garcia,James,51,163.6,48.4,H,oui,bac+2,Corse,non,oui,500,veuf,1.0,0.03,2022-06-01,493.0,,
Williams,Christopher,67,158.2,34.8,H,oui,doctorat,Corse,non,oui,4559,veuf,,0.09,2023-03-06,765.0,1118.78,40000.0
Wilson,Brittany,37,172.0,69.2,F,oui,doctorat,Île-de-France,oui,non,539,,4.0,0.07,2023-03-02,,,
Reese,Kathy,69,184.1,89.1,H,non,doctorat,Normandie,non,non,3656,divorcé,0.0,0.55,2020-04-29,,962.82,
Nichols,Brandon,64,166.4,65.1,H,non,bac+2,Hauts-de-France,oui,oui,1671,,,0.94,2020-10-23,,180.71,
Williams,Deborah,29,165.7,51.7,F,oui,bac+2,Normandie,non,oui,1381,marié,3.0,0.07,2023-05-19,478.0,10000.0,40000.0
Vega,James,53,169.1,75.1,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1619,marié,1.0,0.09,2025-02-27,757.0,,
Hoffman,Felicia,54,167.7,64.5,H,non,master,Auvergne-Rhône-Alpes,oui,oui,2669,marié,1.0,0.01,2021-12-02,,492.38,
Henderson,Steven,41,167.9,66.7,H,non,bac,Occitanie,non,non,3106,veuf,1.0,0.64,2020-07-18,,5000.0,
Johnson,Tammy,48,163.6,46.9,H,non,master,Normandie,non,oui,500,célibataire,3.0,0.51,2020-11-10,,10000.0,
Mills,Matthew,29,168.1,46.7,H,non,aucun,Corse,non,oui,1766,,,0.58,2024-05-09,,,
Perez,Dustin,27,172.7,58.5,H,non,master,Hauts-de-France,oui,oui,2443,,,0.37,2021-11-25,363.0,1151.74,40000.0
Duran,Timothy,25,186.9,75.5,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,2365,célibataire,,0.24,2023-01-24,583.0,,
Christensen,Patrick,30,174.7,77.6,F,non,doctorat,Corse,non,oui,1105,divorcé,,0.55,2024-09-04,,10000.0,
Harris,Brian,50,143.8,65.0,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1432,veuf,,0.81,2023-10-10,,942.88,
Hammond,Susan,56,181.8,72.8,F,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,3224,veuf,,0.21,2021-05-20,,10000.0,
Ball,Kelly,73,165.7,98.5,F,oui,bac+2,Occitanie,oui,oui,1836,veuf,2.0,0.85,2024-10-14,,5000.0,
May,Mary,29,181.8,54.5,F,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,1984,veuf,,0.64,2024-07-11,,5000.0,
Esparza,Teresa,67,172.1,48.1,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1859,,1.0,0.22,2023-03-30,468.0,,
Thomas,Katrina,65,172.6,79.4,F,oui,bac+2,Bretagne,oui,non,2603,divorcé,,0.13,2023-03-17,447.0,582.29,40000.0
Shelton,Dennis,75,170.8,50.6,F,non,bac,Hauts-de-France,oui,non,3100,veuf,1.0,0.39,2025-03-13,502.0,,
Garcia,Charles,20,169.1,83.5,F,non,bac+2,Île-de-France,non,oui,3358,veuf,,0.79,2023-05-17,,5000.0,
Nelson,James,33,162.2,75.9,F,non,master,Corse,non,non,2281,,,0.11,2021-03-30,553.0,821.48,40000.0
Leon,Nathan,73,165.6,95.0,H,oui,aucun,Normandie,oui,oui,3044,divorcé,3.0,0.67,2020-04-28,804.0,5000.0,40000.0
Woods,Amy,45,159.8,78.2,F,non,doctorat,Hauts-de-France,non,non,2435,célibataire,,0.9,2023-11-28,,10000.0,
Morgan,Daniel,61,188.9,46.4,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,1133,,,0.61,2022-03-04,,,
Hamilton,Monica,26,172.4,93.9,F,oui,doctorat,Normandie,non,oui,2785,célibataire,,0.77,2023-02-09,,10000.0,
Walters,Carlos,31,169.3,45.7,F,oui,master,Occitanie,non,non,1831,divorcé,,0.51,2022-11-05,646.0,10000.0,40000.0
Owen,Daniel,43,168.9,47.6,F,oui,master,Île-de-France,non,oui,2352,divorcé,0.0,0.65,2024-08-09,479.0,,
Mitchell,Andrew,33,184.3,62.4,H,oui,master,Hauts-de-France,non,oui,3650,divorcé,0.0,0.27,2021-08-02,,,
Larson,Gregory,31,172.0,49.8,F,oui,bac,Occitanie,oui,oui,3104,célibataire,1.0,0.67,2020-12-11,,10000.0,
Gonzalez,Jack,24,183.9,74.2,H,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,2705,marié,3.0,0.58,2021-08-05,544.0,10000.0,40000.0
Harris,Charles,41,165.3,33.1,F,oui,bac+2,Île-de-France,non,oui,2441,marié,,0.86,2024-07-22,,10000.0,
Livingston,Mackenzie,32,180.4,83.6,H,oui,aucun,Corse,oui,oui,1301,célibataire,,0.17,2024-10-28,357.0,5000.0,40000.0
Rush,Stephanie,64,164.7,72.1,H,oui,bac,Bretagne,oui,oui,3273,marié,1.0,0.57,2021-04-14,310.0,5000.0,40000.0
Owen,Natalie,59,179.9,59.7,H,non,doctorat,Île-de-France,non,non,1507,célibataire,,0.02,2023-12-06,621.0,,
Manning,Justin,56,171.1,74.8,H,non,bac+2,Bretagne,oui,non,2447,veuf,0.0,0.07,2025-05-01,403.0,10000.0,40000.0
Brown,Amanda,22,164.0,93.3,F,non,doctorat,Corse,non,non,1224,,,0.12,2021-04-03,657.0,,
Stevenson,Brittany,57,175.1,60.4,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,1696,,,0.5,2023-10-23,348.0,154.95,40000.0
Leonard,Jason,72,185.0,104.2,F,non,master,Corse,oui,oui,3327,divorcé,,0.44,2024-11-10,634.0,805.59,40000.0
Mcintyre,Megan,37,159.8,68.4,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1499,divorcé,,0.05,2023-08-27,587.0,,
Henson,Victoria,63,185.7,73.6,F,oui,doctorat,Bretagne,non,oui,2114,célibataire,5.0,0.57,2021-03-04,643.0,5000.0,40000.0
Gonzales,Amber,50,172.1,73.8,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,3214,,,0.18,2023-08-09,,664.78,
Stevens,Christopher,20,179.6,77.8,F,non,aucun,Hauts-de-France,oui,oui,2612,divorcé,4.0,0.32,2024-03-19,372.0,,
Greer,Sandra,73,162.6,52.8,F,non,bac+2,Normandie,non,non,3613,,,0.01,2023-12-24,,1357.71,
Hill,Sierra,49,177.3,43.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,1197,,0.0,0.49,2021-03-26,,616.7,
Mckinney,Jason,67,187.8,64.8,H,oui,bac+2,Bretagne,oui,non,894,,,0.69,2021-07-08,,645.33,
Reyes,Jared,21,161.5,84.0,F,non,master,Occitanie,oui,non,1904,marié,,0.23,2021-03-21,,454.11,
Esparza,Sarah,42,171.8,72.3,F,non,master,Bretagne,non,oui,4576,marié,5.0,0.73,2022-04-16,,621.76,
Wilson,Craig,21,162.9,102.3,F,oui,bac+2,Corse,oui,non,2658,divorcé,,0.09,2020-02-25,,1335.44,
Bell,Lisa,33,182.4,56.4,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,3580,veuf,4.0,0.88,2020-07-22,743.0,,
Graham,Ricardo,64,166.2,60.9,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,2393,,,0.54,2021-02-14,,10000.0,
Ponce,Heather,37,158.3,96.8,H,oui,doctorat,Normandie,non,non,1006,divorcé,,0.11,2025-01-04,500.0,,
Valdez,Wayne,24,165.4,80.5,H,oui,master,Auvergne-Rhône-Alpes,oui,non,3446,célibataire,,0.85,2022-01-12,,1149.38,
Martinez,Robert,69,181.1,66.4,H,oui,aucun,Occitanie,non,oui,4925,,4.0,0.96,2020-07-29,342.0,5000.0,40000.0
Curry,Amy,50,172.6,81.3,H,oui,doctorat,Hauts-de-France,non,non,2320,veuf,1.0,0.7,2025-02-23,,,
Smith,Connor,70,165.0,85.3,F,non,bac,Normandie,non,oui,500,divorcé,,0.06,2020-02-17,430.0,10000.0,40000.0
Banks,Colleen,41,174.0,77.4,F,non,aucun,Normandie,non,non,3807,célibataire,,0.98,2024-03-08,660.0,10000.0,40000.0
Little,Bryan,26,181.5,77.3,H,non,doctorat,Hauts-de-France,oui,non,2493,,,0.65,2022-04-04,686.0,5000.0,40000.0
Rose,Alexandria,32,163.5,52.2,H,non,bac+2,Normandie,oui,non,1157,marié,,0.22,2020-06-12,441.0,5000.0,40000.0
Pierce,Mark,46,188.2,56.4,H,oui,doctorat,Île-de-France,non,non,520,divorcé,,0.73,2025-01-09,328.0,10000.0,40000.0
Webb,Michael,69,151.8,71.4,F,oui,bac,Bretagne,non,non,3256,veuf,,0.55,2020-11-05,592.0,,
Simmons,Julia,27,186.3,60.8,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,1245,marié,4.0,0.16,2021-01-12,,10000.0,
Vargas,Samantha,66,172.2,56.6,F,non,bac,Hauts-de-France,oui,oui,2143,divorcé,4.0,0.05,2020-05-11,465.0,5000.0,40000.0
Clark,Beverly,45,161.3,64.7,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,4871,,,0.93,2025-01-01,,5000.0,
Sosa,Chloe,51,176.9,99.8,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,1506,divorcé,,0.65,2020-06-25,,5000.0,
Brown,Michael,48,167.3,74.4,F,oui,doctorat,Occitanie,oui,oui,3115,divorcé,,0.49,2024-09-10,635.0,,
Williams,Trevor,38,154.6,73.2,F,oui,bac,Bretagne,non,oui,591,divorcé,,0.35,2024-10-05,317.0,5000.0,40000.0
Holland,Jordan,59,174.9,52.9,H,non,bac+2,Corse,oui,oui,500,,1.0,0.5,2020-04-30,747.0,,
Kelley,Gloria,23,166.0,54.3,H,non,bac+2,Hauts-de-France,oui,oui,3238,marié,,0.33,2024-02-28,,,
Smith,Derrick,73,151.5,61.8,H,non,bac,Normandie,non,oui,2253,,,0.2,2023-03-27,,1516.18,
Lopez,Stuart,23,182.1,74.4,H,non,bac+2,Auvergne-Rhône-Alpes,oui,non,6003,,,0.3,2020-01-19,460.0,5000.0,40000.0
Martin,Alisha,72,165.0,71.5,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3610,,,0.06,2020-03-12,,10000.0,
Ware,Stephanie,21,166.0,82.4,H,oui,master,Normandie,oui,oui,2939,divorcé,,0.44,2024-03-03,754.0,5000.0,40000.0
Myers,Crystal,54,173.3,75.5,H,oui,master,Occitanie,non,non,1035,divorcé,1.0,0.23,2023-05-18,610.0,1069.06,40000.0
Taylor,Michelle,59,177.0,78.1,F,non,aucun,Île-de-France,non,oui,2348,divorcé,,0.31,2022-12-20,,888.3,
Howell,Leslie,50,167.4,72.0,H,oui,master,Bretagne,oui,non,2692,veuf,1.0,0.23,2024-09-07,823.0,5000.0,40000.0
Perez,Jonathan,28,175.5,22.6,F,non,master,Hauts-de-France,non,non,784,veuf,,0.43,2023-08-04,528.0,,
Sanchez,Catherine,37,167.0,93.2,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,749,marié,5.0,0.95,2025-05-03,,,
Williams,Jonathan,51,188.6,57.0,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3285,,,0.36,2024-05-06,,10000.0,
Morgan,Donald,42,175.6,66.3,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,653,,,0.59,2023-07-28,667.0,10000.0,40000.0
Smith,Wanda,26,179.3,107.6,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,3083,veuf,5.0,0.92,2021-01-26,,,
Smith,Paul,56,182.7,68.8,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,3285,célibataire,,1.0,2022-08-04,324.0,10000.0,40000.0
West,Cheryl,41,167.7,67.9,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,1863,,,0.36,2021-04-10,,10000.0,
Pacheco,Austin,62,175.5,76.7,H,oui,bac,Bretagne,oui,non,3250,veuf,1.0,0.12,2023-12-22,,5000.0,
Dean,Patricia,37,160.9,102.8,H,oui,doctorat,Île-de-France,non,oui,1044,divorcé,,0.81,2024-06-25,,,
Kelly,Benjamin,36,185.6,71.8,F,non,doctorat,Île-de-France,oui,oui,1270,veuf,,0.62,2021-11-02,846.0,,
Johnson,Monica,28,189.3,38.4,H,non,aucun,Hauts-de-France,non,non,2389,veuf,2.0,0.86,2024-04-13,,10000.0,
Brown,Robert,64,153.0,69.0,H,non,bac,Île-de-France,oui,non,500,divorcé,3.0,0.12,2022-05-31,574.0,897.49,40000.0
Garcia,Luis,59,159.8,51.9,F,non,bac+2,Île-de-France,non,oui,3073,,,0.95,2020-08-17,,619.9,
Norris,Sandra,27,171.7,48.5,H,oui,master,Normandie,oui,oui,857,veuf,,0.84,2022-04-26,,829.27,
Hines,David,71,170.2,87.1,F,oui,bac+2,Occitanie,non,oui,3774,veuf,,0.25,2021-06-19,459.0,10000.0,40000.0
Luna,Julia,42,175.2,73.8,F,oui,master,Corse,oui,non,2229,célibataire,2.0,0.27,2023-06-03,,10000.0,
Silva,Joseph,60,178.1,66.8,H,non,aucun,Île-de-France,oui,oui,1192,marié,,0.5,2024-01-07,833.0,5000.0,40000.0
Gomez,Julia,70,164.6,45.8,F,oui,master,Île-de-France,non,oui,959,divorcé,0.0,0.38,2022-12-14,,814.61,
Rogers,Richard,69,185.9,82.5,H,oui,bac+2,Normandie,non,non,5174,,,0.34,2022-02-23,737.0,992.58,40000.0
Day,Daniel,28,158.3,56.1,F,non,aucun,Hauts-de-France,oui,oui,2082,,2.0,0.41,2022-07-09,420.0,,
Crawford,Theresa,50,169.5,60.7,H,non,master,Normandie,non,non,2512,célibataire,4.0,0.24,2021-11-13,,10000.0,
Beltran,Christopher,62,186.9,84.6,F,non,bac+2,Occitanie,non,oui,691,divorcé,5.0,0.86,2020-06-13,337.0,5000.0,40000.0
Spencer,Linda,51,160.6,78.5,H,oui,bac+2,Hauts-de-France,oui,non,4751,veuf,5.0,0.25,2021-06-18,678.0,-139.29,500.0
Scott,Jessica,71,161.1,87.1,F,oui,master,Corse,oui,oui,3082,célibataire,,0.26,2020-05-26,,,
Wiley,Samuel,54,195.5,61.0,F,oui,aucun,Occitanie,oui,oui,3851,veuf,1.0,0.66,2025-01-09,,10000.0,
Stone,Tara,28,155.2,61.2,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,2539,,,0.59,2020-02-08,,,
Hancock,Wesley,20,162.8,47.7,F,oui,bac,Corse,non,non,500,,,0.99,2020-09-15,445.0,10000.0,40000.0
Vincent,Dennis,54,175.9,64.7,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,1268,divorcé,3.0,0.63,2020-02-13,599.0,5000.0,40000.0
Stevenson,Darren,29,164.2,71.3,H,non,aucun,Hauts-de-France,oui,oui,2507,célibataire,3.0,0.94,2021-08-27,,473.88,
Jones,Eric,37,171.3,48.0,H,non,bac,Bretagne,oui,non,5360,marié,5.0,0.94,2020-10-17,309.0,1559.85,40000.0
Savage,Kenneth,57,167.9,85.4,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,1099,veuf,,0.51,2020-10-28,,5000.0,
Hebert,Timothy,51,159.9,83.2,F,oui,doctorat,Hauts-de-France,non,non,4573,marié,,0.04,2023-09-16,,5000.0,
Luna,Juan,30,177.2,82.7,H,oui,doctorat,Île-de-France,oui,oui,3745,célibataire,,0.72,2025-03-24,,716.91,
Nicholson,Jason,59,174.6,86.5,H,non,bac+2,Île-de-France,non,non,2210,célibataire,,0.78,2024-08-09,390.0,901.84,40000.0
Jennings,Jill,73,173.2,51.1,H,oui,aucun,Bretagne,non,non,4977,marié,3.0,0.17,2022-05-22,509.0,,
Blair,Mark,32,193.4,84.2,F,non,doctorat,Bretagne,oui,non,1311,,4.0,0.01,2020-06-24,,,
Schwartz,Brittany,41,169.6,13.1,H,oui,bac+2,Île-de-France,non,oui,1339,veuf,0.0,0.6,2023-08-05,,10000.0,
Martinez,Todd,60,171.7,52.2,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2435,marié,,0.15,2024-01-04,730.0,10000.0,40000.0
West,Timothy,52,172.3,100.0,F,oui,aucun,Corse,oui,non,2323,marié,1.0,0.23,2024-01-27,328.0,,
Ellison,William,39,141.9,63.4,F,oui,doctorat,Corse,oui,oui,1712,veuf,3.0,0.58,2024-10-15,,,
Chen,John,28,180.9,80.2,F,non,bac+2,Normandie,non,non,3264,marié,,0.14,2023-11-24,,,
Chan,Randy,38,157.1,70.1,F,non,master,Bretagne,non,oui,4764,,4.0,0.91,2025-05-05,,,
Clark,Stephen,42,173.4,87.6,F,non,master,Auvergne-Rhône-Alpes,oui,oui,1672,,,0.29,2021-08-28,,902.95,
Johnson,Anthony,30,178.1,49.2,H,non,doctorat,Hauts-de-France,oui,non,3836,,4.0,0.84,2024-11-08,,5000.0,
Pierce,Katie,64,159.0,82.9,H,oui,bac+2,Île-de-France,oui,oui,2084,célibataire,0.0,0.79,2021-02-12,,559.76,
Williams,Stanley,68,167.5,62.2,H,non,master,Hauts-de-France,oui,oui,5285,marié,5.0,0.47,2021-09-02,,10000.0,
Simon,Ronald,34,167.9,57.2,F,oui,aucun,Île-de-France,non,oui,1731,célibataire,3.0,0.28,2022-07-17,380.0,,
Klein,Angela,48,154.3,92.2,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,4688,célibataire,,0.06,2021-11-13,440.0,10000.0,40000.0
Sanchez,Jessica,72,169.7,99.2,H,oui,master,Hauts-de-France,oui,oui,3454,divorcé,4.0,0.8,2023-04-25,,5000.0,
Anderson,Crystal,66,163.6,51.8,H,oui,bac,Bretagne,oui,oui,3211,,,0.11,2024-08-02,,5000.0,
Burton,Matthew,72,166.5,55.0,F,non,master,Hauts-de-France,oui,oui,3529,,5.0,0.09,2023-06-03,420.0,,
Johnson,Carolyn,63,171.2,77.4,F,non,aucun,Bretagne,non,oui,3873,célibataire,,0.72,2020-02-23,,,
Smith,Mary,28,183.3,35.4,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,2810,célibataire,1.0,0.1,2020-10-02,586.0,638.36,40000.0
Tanner,Nathan,45,153.9,97.4,F,non,doctorat,Normandie,non,oui,4057,divorcé,,0.31,2023-08-18,652.0,5000.0,40000.0
Best,Mark,43,178.0,83.3,H,non,doctorat,Normandie,oui,oui,3606,marié,3.0,0.85,2020-06-27,714.0,10000.0,40000.0
Wilcox,Jillian,58,144.7,59.5,F,oui,bac+2,Occitanie,non,non,1086,,,0.43,2022-12-31,695.0,10000.0,40000.0
Rangel,Thomas,23,175.3,47.1,H,non,bac,Corse,non,non,2675,divorcé,3.0,0.96,2025-02-04,411.0,,
Elliott,Angela,52,169.6,79.8,F,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2132,marié,,0.63,2021-08-17,727.0,552.93,40000.0
Turner,Timothy,21,153.3,66.7,H,non,aucun,Hauts-de-France,oui,oui,1095,veuf,,0.22,2020-03-24,670.0,,
Johnson,Christine,37,174.5,95.1,F,oui,bac,Corse,oui,oui,531,veuf,,0.04,2025-05-04,,,
Smith,Aaron,63,168.1,43.1,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2754,marié,1.0,0.99,2022-01-01,525.0,10000.0,40000.0
Martinez,Jason,37,171.1,70.4,F,oui,bac+2,Corse,oui,non,1939,divorcé,3.0,0.73,2020-07-28,846.0,,
Burns,Destiny,61,170.7,62.7,F,oui,aucun,Occitanie,oui,oui,2614,divorcé,,0.31,2021-11-11,665.0,5000.0,40000.0
Romero,Madison,67,172.6,64.4,H,oui,master,Île-de-France,oui,non,851,,,0.24,2022-05-24,,5000.0,
Petty,Joseph,75,180.4,54.0,F,oui,bac+2,Bretagne,oui,non,2553,,,0.64,2023-12-23,585.0,10000.0,40000.0
Foster,Monica,73,168.7,45.5,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2591,marié,,0.42,2024-08-28,675.0,1297.71,40000.0
Miller,Deborah,49,156.2,60.9,F,non,bac,Bretagne,oui,non,1114,,4.0,0.77,2025-04-21,,10000.0,
Murphy,Natalie,48,168.9,64.7,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,3554,marié,,0.07,2020-10-13,,5000.0,
Atkins,Jamie,63,174.4,52.6,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,1799,veuf,,0.5,2020-05-26,504.0,5000.0,40000.0
Montgomery,John,39,159.1,67.0,H,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3963,marié,1.0,0.46,2020-06-28,,,
Norton,Sarah,44,157.2,73.0,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3128,célibataire,3.0,0.41,2022-05-25,,,
Chandler,Albert,39,174.9,83.0,F,oui,bac+2,Bretagne,non,non,1364,célibataire,1.0,0.73,2023-11-13,,5000.0,
Martin,Jessica,27,153.6,82.3,F,oui,bac,Normandie,non,oui,1344,,0.0,0.16,2024-06-25,,10000.0,
Page,Brittany,25,161.3,75.4,H,oui,aucun,Normandie,oui,oui,4121,veuf,,0.39,2024-07-25,,916.62,
Thompson,Lisa,52,167.4,63.8,H,non,aucun,Normandie,non,non,1779,,,0.6,2023-11-14,692.0,10000.0,40000.0
Hughes,William,47,152.3,68.9,H,oui,bac,Île-de-France,oui,non,2970,divorcé,,0.48,2021-12-06,,10000.0,
Beck,Ashley,31,176.9,66.8,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,4051,divorcé,,0.5,2024-08-25,,,
Hall,Mark,66,169.1,47.7,F,oui,doctorat,Occitanie,non,oui,4284,célibataire,,0.07,2022-12-30,,5000.0,
Duncan,Christopher,50,163.5,43.1,H,oui,bac+2,Normandie,oui,non,2598,célibataire,,0.63,2024-05-19,,5000.0,
Blackwell,Deborah,57,186.1,93.5,H,oui,bac,Corse,non,oui,4381,marié,0.0,0.07,2024-01-21,,933.23,
Simpson,Nichole,34,199.8,82.6,H,oui,bac+2,Normandie,oui,oui,2880,,,0.98,2024-05-02,,779.35,
Dean,Virginia,49,169.5,84.2,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2119,,2.0,0.28,2023-09-09,587.0,,
Saunders,Ryan,39,166.1,60.2,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2430,divorcé,,0.13,2022-09-30,,,
Neal,Angela,65,176.5,103.9,H,oui,doctorat,Corse,oui,non,4166,célibataire,,0.14,2023-06-02,,10000.0,
Hensley,Austin,53,169.3,76.5,F,oui,bac,Occitanie,non,non,2055,divorcé,2.0,0.62,2020-12-15,,,
Conrad,Lindsay,70,167.2,77.5,F,non,doctorat,Corse,non,oui,3873,veuf,,0.94,2024-08-11,372.0,1309.6,40000.0
Ferguson,Jennifer,73,180.3,60.7,H,non,doctorat,Normandie,oui,oui,2323,divorcé,,0.59,2024-11-22,609.0,648.5,40000.0
Sanders,Robert,36,176.0,64.6,F,non,aucun,Occitanie,non,oui,1993,célibataire,,0.64,2024-06-26,,5000.0,
Reyes,James,52,172.0,40.8,F,non,aucun,Auvergne-Rhône-Alpes,non,non,1508,veuf,4.0,0.1,2022-02-08,578.0,,
Duncan,Jennifer,65,162.4,64.5,F,non,master,Île-de-France,oui,non,1214,célibataire,1.0,0.36,2020-01-11,,5000.0,
